id,brand,owner_id,created_at,status,max_slots,price_cents,currency
1,Microsoft 365,1,2023-01-14 23:23:57,0,4,1070,EUR
2,HBO Max,1670,2023-07-16 21:39:51,2,4,233,USD
3,ChatGPT Plus,558,2024-10-02 13:54:25,0,3,1367,EUR
4,Microsoft 365,567,2023-10-26 23:03:50,0,6,460,EUR
5,NordVPN,950,2024-11-30 08:35:40,0,4,464,EUR
6,Midjourney,1983,2021-11-24 03:46:18,0,3,725,EUR
7,Apple Music,1969,2021-07-06 04:50:04,0,4,348,
8,Disney+,836,2022-01-09 15:35:01,3,4,1408,
9,NordVPN,317,2025-01-29 01:53:29,0,4,1332,USD
10,HBO Max,1055,2024-08-18 06:06:12,0,3,3,EUR
11,Amazon Prime,101,2022-07-22 06:51:51,3,5,395,EUR
12,Notion,1999,2021-02-18 23:03:05,0,3,3,EUR
13,Microsoft 365,1349,2024-05-20 02:04:36,3,3,1463,
14,Microsoft 365,2265,2022-05-06 17:35:09,3,5,1355,EUR
15,NordVPN,1663,2024-08-19 02:31:44,0,6,1313,EUR
16,Adobe CC,891,2023-03-14 15:39:49,2,4,527,EUR
17,Midjourney,608,2020-07-06 06:48:14,0,6,509,EUR
18,Netflix,476,2024-07-15 05:23:31,3,4,409,EUR
19,Disney+,821,2025-01-19 20:59:09,3,6,269,USD
20,Midjourney,270,2020-06-14 09:39:48,0,5,703,EUR
21,Spotify,838,2024-11-21 19:44:23,0,4,1183,EUR
22,Notion,1315,2022-11-20 04:16:43,2,2,707,EUR
23,Disney+,1456,2023-02-13 22:52:45,0,3,597,EUR
24,Netflix,199,2020-11-09 00:42:36,0,4,547,
25,Apple Music,463,2021-02-23 16:37:44,2,5,567,EUR
26,Microsoft 365,1274,2021-01-07 12:51:01,1,4,596,EUR
27,Notion,377,2022-12-01 04:30:10,3,4,1118,EUR
28,Apple Music,1011,2020-08-19 18:17:41,0,6,1051,EUR
29,Midjourney,135,2020-06-16 23:08:12,2,4,858,EUR
30,Adobe CC,966,2020-09-14 23:52:31,3,5,931,EUR
31,ChatGPT Plus,341,2024-12-29 04:03:45,1,3,920,
